hub,intervention_type,donor,report_date,distribution_date,planned_implemented,implementing_partner,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,community,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,longitude_x,latitude_y,location_pcode,abbreviation
NWS,Earthquake,BHA,2023-02-10T00:00:00Z,2023-02-13T00:00:00Z,Implemented,People in Need (PIN),Cash Response,NA,30,150,USD,115,441,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Qanniyeh (Janudiyeh),In the Village,القنية - الجانودية,NA,SY07,SY0704,SY070403,C4260,36.319267,35.922078,NA,PIN
NWS,Earthquake,BHA,2023-02-10T00:00:00Z,2023-02-13T00:00:00Z,Implemented,People in Need (PIN),Cash Response,NA,30,150,USD,432,2160,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,In the Village,الفوز_الزوف,NA,SY07,SY0704,SY070403,C4263,36.234349,35.941613,NA,PIN
NWS,Earthquake,IRC fund,2023-02-12T00:00:00Z,2023-02-13T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,100,500,Yes,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,36.520746,36.212594,NA,IRC
NWS,Earthquake,N/A,2023-02-12T00:00:00Z,2023-02-13T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,138,690,Yes,Aleppo,A'zaz,A'zaz,Nayara,Village & Camps,Alresaleh Coolective center,NA,SY02,SY0204,SY020400,C1573,37.110584,36.608169,NA,ACTED
NWS,Earthquake,N/A,2023-02-12T00:00:00Z,2023-02-13T00:00:00Z,Implemented,Orange Organisation (OO),Cash Response,NA,30,150,USD,1000,5000,No,Idleb,Harim,Salqin,Salqin,Village & Camps,مجتمعات,NA,SY07,SY0703,SY070302,C4140,36.453694,36.139048,NA,OO
NWS,Earthquake,Private donor,2023-02-09T00:00:00Z,2023-02-13T00:00:00Z,Implemented,Norwegian Refugee Council (NRC),Cash Response,NA,30,150,USD,1500,7500,Yes,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,36.520746,36.212594,NA,NRC
NWS,Earthquake,IRC fund,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,200,1000,Yes,Aleppo,Jebel Saman,Atareb,Jeineh,In the Village,مركز ايواء و مجتمعات,NA,SY02,SY0200,SY020001,C1032,36.801449,36.117087,NA,IRC
NWS,Earthquake,IRC fund,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,200,1000,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,مجتمعات,NA,SY02,SY0200,SY020001,C1022,36.828382,36.137884,NA,IRC
NWS,Earthquake,IRC fund,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,200,1000,Yes,Aleppo,Jebel Saman,Atareb,Maaret Atarib,In the Village,مجتمعات,NA,SY02,SY0200,SY020001,C1038,36.81829,36.157567,NA,IRC
NWS,Earthquake,IRC fund,2023-02-12T00:00:00Z,2023-02-14T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,200,1000,Yes,Aleppo,Jebel Saman,Atareb,Kafr Naseh Elatareb,In the Village,مجتمعات,NA,SY02,SY0200,SY020001,C1036,36.788264,36.135897,NA,IRC
